metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.8452682751,0.6627872085
roc_auc,0.8888391467,0.7852965748
brier_score,0.1436256103,0.2111351329
selected_threshold,0.1800512969,0.1800512969
tp,297,37
tn,162,17
fp,345,46
fn,7,1
sensitivity,0.9769736842,0.9736842105
specificity,0.3195266272,0.2698412698
fnr,0.02302631579,0.02631578947
fpr,0.6804733728,0.7301587302
ppv,0.4626168224,0.4457831325
npv,0.9585798817,0.9444444444
f1_score,0.6279069767,0.6115702479
f2_score,0.7992465016,0.7872340426
balanced_accuracy,0.6482501557,0.6217627402
mcc,0.3533906534,0.3082699436
accuracy,0.5659679408,0.5346534653
predicted_positive_count,642,83
predicted_positive_rate,0.7916152898,0.8217821782
tp_per_1000_lesions,366.2145499,366.3366337
fp_per_1000_lesions,425.4007398,455.4455446
fn_per_1000_lesions,8.631319359,9.900990099
