metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.1288325092,0.05074320791
roc_auc,0.962885707,0.9142157182
brier_score,0.1424459829,0.1300697534
selected_threshold,0.2364203632,0.2364203632
tp,801,96
tn,204257,26612
fp,99955,11418
fn,11,5
sensitivity,0.986453202,0.9504950495
specificity,0.6714297924,0.6997633447
fnr,0.01354679803,0.0495049505
fpr,0.3285702076,0.3002366553
ppv,0.007949898765,0.008337675873
npv,0.9999461492,0.9998121501
f1_score,0.01577268431,0.01653034869
f2_score,0.0385081343,0.04027521396
balanced_accuracy,0.8289414972,0.8251291971
mcc,0.07207409842,0.07279761514
accuracy,0.6722684117,0.7004274737
predicted_positive_count,100756,11514
predicted_positive_rate,0.3303215485,0.301959036
tp_per_1000_lesions,2.62602287,2.517636569
fp_per_1000_lesions,327.6955256,299.4413994
fn_per_1000_lesions,0.03606273605,0.1311269046
