stage,stage_epoch,total_epoch,train_loss,pr_auc,roc_auc,brier_score
warmup,1,1,0.9181173292257018,0.40755024964338094,0.5601363415030027,0.2554629147052765
warmup,2,2,0.9132301296769011,0.5519222727872827,0.6662879402694367,0.23569832742214203
fine_tune,1,3,0.8714527201211691,0.590924826528044,0.703944164908294,0.22306573390960693
fine_tune,2,4,0.7825300803720859,0.6773127380751922,0.7605908131796786,0.21086761355400085
fine_tune,3,5,0.7641698971551445,0.7028820475866058,0.7687063788346047,0.21155129373073578
fine_tune,4,6,0.7312116230764815,0.7105309988212538,0.7722772277227723,0.21478258073329926
fine_tune,5,7,0.7171895526039582,0.717921362449454,0.778120434994319,0.2084091603755951
fine_tune,6,8,0.6889821892526741,0.7116295901838179,0.773088784288265,0.20874376595020294
fine_tune,7,9,0.6850931066761399,0.7166750602378459,0.7758480766109397,0.20154032111167908
fine_tune,8,10,0.6562934075188013,0.7080230990684548,0.7713033598441811,0.20282316207885742
