metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.7955131299,0.6979069852
roc_auc,0.8609207931,0.7723475355
brier_score,0.1644677827,0.2093494321
selected_threshold,0.3069774508,0.3069774508
tp,294,37
tn,205,19
fp,302,44
fn,10,1
sensitivity,0.9671052632,0.9736842105
specificity,0.4043392505,0.3015873016
fnr,0.03289473684,0.02631578947
fpr,0.5956607495,0.6984126984
ppv,0.4932885906,0.4567901235
npv,0.9534883721,0.95
f1_score,0.6533333333,0.6218487395
f2_score,0.8112582781,0.7939914163
balanced_accuracy,0.6857222568,0.6376357561
mcc,0.4073731111,0.3346307404
accuracy,0.6152897657,0.5544554455
predicted_positive_count,596,81
predicted_positive_rate,0.7348951911,0.801980198
tp_per_1000_lesions,362.5154131,366.3366337
fp_per_1000_lesions,372.3797781,435.6435644
fn_per_1000_lesions,12.33045623,9.900990099
