metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.06912460282,0.09194892917
roc_auc,0.7060428481,0.6709652099
brier_score,0.4466283897,0.5762341483
selected_threshold,0.0001585638772,0.0001585638772
tp,743,96
tn,50532,1753
fp,253680,36277
fn,69,5
sensitivity,0.9150246305,0.9504950495
specificity,0.1661078458,0.04609518801
fnr,0.08497536946,0.0495049505
fpr,0.8338921542,0.953904812
ppv,0.00292033346,0.002639320375
npv,0.9986363906,0.9971558589
f1_score,0.005822085529,0.005264023688
f2_score,0.01441761005,0.01305163553
balanced_accuracy,0.5405662382,0.4982951188
mcc,0.01123836629,-0.0008356972658
accuracy,0.1681015264,0.04849072933
predicted_positive_count,254423,36373
predicted_positive_rate,0.8341081358,0.9538957803
tp_per_1000_lesions,2.435873898,2.517636569
fp_per_1000_lesions,831.6722619,951.3781438
fn_per_1000_lesions,0.2262117079,0.1311269046
