metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.04904278716,0.01989227582
roc_auc,0.8510354119,0.7805654994
brier_score,0.005368488194,0.006033308587
selected_threshold,0.0300019412,0.0300019412
tp,759,96
tn,121746,8117
fp,182466,29913
fn,53,5
sensitivity,0.934729064,0.9504950495
specificity,0.4002011755,0.2134367605
fnr,0.06527093596,0.0495049505
fpr,0.5997988245,0.7865632395
ppv,0.00414244781,0.003199040288
npv,0.9995648569,0.9993843881
f1_score,0.008248341366,0.006376619063
f2_score,0.02035147179,0.01578272449
balanced_accuracy,0.6674651198,0.581965905
mcc,0.03523759979,0.02057926356
accuracy,0.4016241345,0.2153890535
predicted_positive_count,183225,30009
predicted_positive_rate,0.6006904375,0.7869974561
tp_per_1000_lesions,2.488328787,2.517636569
fp_per_1000_lesions,598.2021087,784.4798196
fn_per_1000_lesions,0.1737568191,0.1311269046
