metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.7094475506,0.5868399145
roc_auc,0.8101577909,0.730994152
brier_score,0.1768420619,0.1973109788
selected_threshold,0.201600699,0.201600699
tp,298,37
tn,148,17
fp,359,46
fn,6,1
sensitivity,0.9802631579,0.9736842105
specificity,0.291913215,0.2698412698
fnr,0.01973684211,0.02631578947
fpr,0.708086785,0.7301587302
ppv,0.4535768645,0.4457831325
npv,0.961038961,0.9444444444
f1_score,0.6201873049,0.6115702479
f2_score,0.7955152162,0.7872340426
balanced_accuracy,0.6360881864,0.6217627402
mcc,0.3359295038,0.3082699436
accuracy,0.5499383477,0.5346534653
predicted_positive_count,657,83
predicted_positive_rate,0.8101109741,0.8217821782
tp_per_1000_lesions,367.4475956,366.3366337
fp_per_1000_lesions,442.6633785,455.4455446
fn_per_1000_lesions,7.398273736,9.900990099
