metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.0995913944,0.06920671482
roc_auc,0.945000279,0.9054770465
brier_score,0.1380217361,0.1189847406
selected_threshold,0.08133274317,0.08133274317
tp,807,96
tn,162313,22626
fp,141899,15404
fn,5,5
sensitivity,0.9938423645,0.9504950495
specificity,0.5335522596,0.5949513542
fnr,0.006157635468,0.0495049505
fpr,0.4664477404,0.4050486458
ppv,0.005654982972,0.006193548387
npv,0.9999691963,0.9997790641
f1_score,0.01124597611,0.0123069034
f2_score,0.02764569659,0.03018108652
balanced_accuracy,0.7636973121,0.7727232018
mcc,0.05446248155,0.05707661527
accuracy,0.5347775913,0.5958931053
predicted_positive_count,142706,15500
predicted_positive_rate,0.46785171,0.4064934043
tp_per_1000_lesions,2.645693454,2.517636569
fp_per_1000_lesions,465.2060166,403.9757677
fn_per_1000_lesions,0.01639215275,0.1311269046
