stage,stage_epoch,total_epoch,train_loss
warmup,1,1,0.8574743303211931
warmup,2,2,0.7999716673767523
fine_tune,1,3,0.8407477526276679
fine_tune,2,4,0.7824604123941038
fine_tune,3,5,0.7477765589695236
fine_tune,4,6,0.6884512532360015
fine_tune,5,7,0.6591050481531682
fine_tune,6,8,0.6265674638395392
fine_tune,7,9,0.5888585981840564
fine_tune,8,10,0.5621776755729233
fine_tune,9,11,0.5272172028715602
fine_tune,10,12,0.4755062056308022
fine_tune,11,13,0.47176612033502974
fine_tune,12,14,0.443316810301582
