metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.02155864273,0.0236266386
roc_auc,0.8503696484,0.7618131074
brier_score,0.002672337877,0.002642214474
selected_threshold,0.0009666293433,0.0009666293433
tp,794,96
tn,65660,5276
fp,238552,32754
fn,18,5
sensitivity,0.9778325123,0.9504950495
specificity,0.2158363247,0.1387325795
fnr,0.02216748768,0.0495049505
fpr,0.7841636753,0.8612674205
ppv,0.003317373175,0.002922374429
npv,0.9997259356,0.9990532096
f1_score,0.00661231356,0.005826833783
f2_score,0.01636479056,0.01443435376
balanced_accuracy,0.5968344185,0.5446138145
mcc,0.02427743965,0.01327692286
accuracy,0.2178648238,0.1408827463
predicted_positive_count,239346,32850
predicted_positive_rate,0.7846792384,0.8615037633
tp_per_1000_lesions,2.603073856,2.517636569
fp_per_1000_lesions,782.0761645,858.9861268
fn_per_1000_lesions,0.0590117499,0.1311269046
