metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.01380930072,0.006308358169
roc_auc,0.7071195335,0.6217951956
brier_score,0.00264342176,0.002642541876
selected_threshold,0.0005847052119,0.0005847052119
tp,764,96
tn,23050,5348
fp,281162,32682
fn,48,5
sensitivity,0.9408866995,0.9504950495
specificity,0.07576952914,0.1406258217
fnr,0.05911330049,0.0495049505
fpr,0.9242304709,0.8593741783
ppv,0.002709930975,0.002928793703
npv,0.997921898,0.9990659443
f1_score,0.005404296557,0.005839593662
f2_score,0.01339533057,0.01446567416
balanced_accuracy,0.5083281143,0.5455604356
mcc,0.003244054234,0.01348192373
accuracy,0.07807254511,0.1427709737
predicted_positive_count,281926,32778
predicted_positive_rate,0.9242748112,0.8596155359
tp_per_1000_lesions,2.50472094,2.517636569
fp_per_1000_lesions,921.7700902,857.0978993
fn_per_1000_lesions,0.1573646664,0.1311269046
