metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.6514120809,0.5580976764
roc_auc,0.7570266272,0.7213868003
brier_score,0.1902514335,0.2041364044
selected_threshold,0.1865579225,0.1865579225
tp,283,37
tn,161,18
fp,346,45
fn,21,1
sensitivity,0.9309210526,0.9736842105
specificity,0.3175542406,0.2857142857
fnr,0.06907894737,0.02631578947
fpr,0.6824457594,0.7142857143
ppv,0.4499205087,0.4512195122
npv,0.8846153846,0.9473684211
f1_score,0.6066452304,0.6166666667
f2_score,0.7669376694,0.7905982906
balanced_accuracy,0.6242376466,0.6296992481
mcc,0.2883121645,0.321547991
accuracy,0.5474722565,0.5445544554
predicted_positive_count,629,82
predicted_positive_rate,0.7755856967,0.8118811881
tp_per_1000_lesions,348.9519112,366.3366337
fp_per_1000_lesions,426.6337855,445.5445545
fn_per_1000_lesions,25.89395808,9.900990099
