metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,1,0.5554603444
roc_auc,1,0.7364243943
brier_score,0.02390784351,0.2079870492
selected_threshold,0.08943431079,0.08943431079
tp,304,37
tn,255,14
fp,252,49
fn,0,1
sensitivity,1,0.9736842105
specificity,0.5029585799,0.2222222222
fnr,0,0.02631578947
fpr,0.4970414201,0.7777777778
ppv,0.5467625899,0.4302325581
npv,1,0.9333333333
f1_score,0.7069767442,0.5967741935
f2_score,0.8577878104,0.7773109244
balanced_accuracy,0.7514792899,0.5979532164
mcc,0.5244034094,0.2668799297
accuracy,0.6892725031,0.504950495
predicted_positive_count,556,86
predicted_positive_rate,0.6855733662,0.8514851485
tp_per_1000_lesions,374.8458693,366.3366337
fp_per_1000_lesions,310.7274969,485.1485149
fn_per_1000_lesions,0,9.900990099
