metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.853437406,0.6319721147
roc_auc,0.8922908232,0.7393483709
brier_score,0.1351992255,0.2002381815
selected_threshold,0.1891754717,0.1891754717
tp,297,37
tn,202,21
fp,305,42
fn,7,1
sensitivity,0.9769736842,0.9736842105
specificity,0.3984220907,0.3333333333
fnr,0.02302631579,0.02631578947
fpr,0.6015779093,0.6666666667
ppv,0.4933554817,0.4683544304
npv,0.966507177,0.9545454545
f1_score,0.6556291391,0.6324786325
f2_score,0.8168316832,0.8008658009
balanced_accuracy,0.6876978875,0.6535087719
mcc,0.415488266,0.3603299654
accuracy,0.6152897657,0.5742574257
predicted_positive_count,602,79
predicted_positive_rate,0.7422934649,0.7821782178
tp_per_1000_lesions,366.2145499,366.3366337
fp_per_1000_lesions,376.0789149,415.8415842
fn_per_1000_lesions,8.631319359,9.900990099
