metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.3780315473,0.03386057832
roc_auc,0.9770260518,0.8408978842
brier_score,0.002302107693,0.002602033592
selected_threshold,0.0007028348628,0.0007028348628
tp,812,96
tn,114237,15389
fp,189975,22641
fn,0,5
sensitivity,1,0.9504950495
specificity,0.3755177311,0.4046542204
fnr,0,0.0495049505
fpr,0.6244822689,0.5953457796
ppv,0.004256055182,0.004222192901
npv,1,0.9996751981
f1_score,0.008476035887,0.008407040897
f2_score,0.02092406009,0.02074240525
balanced_accuracy,0.6877588655,0.6775746349
mcc,0.03997779615,0.03720424141
accuracy,0.3771801563,0.4061000236
predicted_positive_count,190787,22737
predicted_positive_rate,0.6254819293,0.5962864861
tp_per_1000_lesions,2.662085606,2.517636569
fp_per_1000_lesions,622.8198437,593.7688495
fn_per_1000_lesions,0,0.1311269046
