metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.1880298349,0.03304414136
roc_auc,0.9296406997,0.8626617079
brier_score,0.002388293076,0.002658454978
selected_threshold,0.001435883576,0.001435883576
tp,806,96
tn,100551,13738
fp,203661,24292
fn,6,5
sensitivity,0.9926108374,0.9504950495
specificity,0.3305293677,0.3612411254
fnr,0.007389162562,0.0495049505
fpr,0.6694706323,0.6387588746
ppv,0.003941956404,0.003936362145
npv,0.9999403323,0.9996361784
f1_score,0.007852727264,0.007840254808
f2_score,0.0194015839,0.01936108422
balanced_accuracy,0.6615701026,0.6558680875
mcc,0.03541925442,0.03337199619
accuracy,0.3322918852,0.3628019197
predicted_positive_count,204467,24388
predicted_positive_rate,0.6703308592,0.63958459
tp_per_1000_lesions,2.642415023,2.517636569
fp_per_1000_lesions,667.6884442,637.0669534
fn_per_1000_lesions,0.0196705833,0.1311269046
