metric,train,validation
total_lesions,305024,38131
total_patients,784,94
positive_lesions,812,101
negative_lesions,304212,38030
patients_with_positive_lesion,497,68
lesion_prevalence,0.002662085606,0.002648763473
patient_prevalence,0.6339285714,0.7234042553
pr_auc,0.06243262801,0.04140430985
roc_auc,0.8874434245,0.8274676324
brier_score,0.002578157012,0.00259080055
selected_threshold,0.0005843510153,0.0005843510153
tp,808,96
tn,49261,5156
fp,254951,32874
fn,4,5
sensitivity,0.9950738916,0.9504950495
specificity,0.1619298384,0.1355771759
fnr,0.004926108374,0.0495049505
fpr,0.8380701616,0.8644228241
ppv,0.003159224113,0.002911737944
npv,0.9999188065,0.9990311955
f1_score,0.006298451501,0.005805690786
f2_score,0.01559803403,0.01438245341
balanced_accuracy,0.578501865,0.5430361127
mcc,0.02198322725,0.01293184464
accuracy,0.1641477392,0.1377357006
predicted_positive_count,255759,32970
predicted_positive_rate,0.838488119,0.8646508091
tp_per_1000_lesions,2.648971884,2.517636569
fp_per_1000_lesions,835.8391471,862.1331725
fn_per_1000_lesions,0.0131137222,0.1311269046
