metric,train,validation
total_lesions,811,101
total_patients,504,64
positive_lesions,304,38
negative_lesions,507,63
patients_with_positive_lesion,201,22
lesion_prevalence,0.3748458693,0.3762376238
patient_prevalence,0.3988095238,0.34375
pr_auc,0.6679618544,0.5996454473
roc_auc,0.7746580764,0.7412280702
brier_score,0.18968106,0.1936786405
selected_threshold,0.190595746,0.190595746
tp,288,37
tn,157,18
fp,350,45
fn,16,1
sensitivity,0.9473684211,0.9736842105
specificity,0.3096646943,0.2857142857
fnr,0.05263157895,0.02631578947
fpr,0.6903353057,0.7142857143
ppv,0.4514106583,0.4512195122
npv,0.9075144509,0.9473684211
f1_score,0.6114649682,0.6166666667
f2_score,0.7766990291,0.7905982906
balanced_accuracy,0.6285165577,0.6296992481
mcc,0.3037361338,0.321547991
accuracy,0.5487053021,0.5445544554
predicted_positive_count,638,82
predicted_positive_rate,0.7866831073,0.8118811881
tp_per_1000_lesions,355.1171393,366.3366337
fp_per_1000_lesions,431.5659679,445.5445545
fn_per_1000_lesions,19.72872996,9.900990099
